"","filename","sentence","index","date","title","publication","filepath"
"1","text_extracted_4.txt","The term New Deal was credited to Moley. He set up shop for the Roosevelt Administration, hiring aides, making",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"2","text_extracted_4.txt","and screening Cabinet selections, twisting Congressional arms and swinging so much weight before and during the",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"3","text_extracted_4.txt","famous hundred days that one of FDR's old-friends was said to have approached the President-elect shortly before",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"4","text_extracted_4.txt","the inauguration and begged: ""Franklin, can you do me one favor? Can you get me an appointment with Moley?""",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"5","text_extracted_4.txt","Soon, however, in his nominal title of Assistant Secretary of State, Moley butted heads with Cordell Hull, the proud",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"6","text_extracted_4.txt","and touchy Secretary of State. In addition, Moley was a fundamental conservative who began to find Roosevelt's",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"7","text_extracted_4.txt","policies alarmingly radical. Moley resigned in September ; despite a widening rift, he continued to serve the",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"8","text_extracted_4.txt","President as a consultant until , but them Morley boted the Democratic Party and he and FDR never met",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"9","text_extracted_4.txt","again.",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"10","text_extracted_4.txt","Moley taught school in his native Ohio and remained on the Columbia faculty in his Brain Trust days and for many",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"11","text_extracted_4.txt","years afterward, but journalism took up more and more of his time. In , he became editor and columnist at",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"12","text_extracted_4.txt","Today, a current-events weekly. Three years later, when Today and Newsweek merged, Moley began a long",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"13","text_extracted_4.txt","association with Newsweek, briefly as editor and for  years as a columnist until his retirement from the",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"14","text_extracted_4.txt","newsweekly gind at  - though he went on writing books, chiefly on politics and political history. Moley's prose",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"15","text_extracted_4.txt","was direct and often critical but devoid of nasty twists. ""We can hurt beyond repair by unfairness,"" he once said.",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"16","text_extracted_4.txt","""We should first be fair. Then, if there is something to spare, we may be clever."" He also believed in getting to the",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"17","text_extracted_4.txt","point: ""If I were th umpire, I would call a balk on some of our writers for delaying the game.""",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"18","text_extracted_4.txt","In , Moley returned to the White House to receive the Medal of Freedom - the highest civilian honor that the",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"19","text_extracted_4.txt","U.S. awards. ""A man of thought and a man of action,"" said the accompanying citation, ""he has not only studied and",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"20","text_extracted_4.txt","analyzed the history of our times, but also helped to make it.""",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"21","text_extracted_4.txt","Graphic",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"22","text_extracted_4.txt","                                                                                   Page  of ",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"23","text_extracted_4.txt","                                                 DIED",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"24","text_extracted_4.txt","Picture, Raymond Moley in , Robert R. McElroy - Newsweek",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"25","text_extracted_4.txt","Classification",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"26","text_extracted_4.txt","Language: ENGLISH",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"27","text_extracted_4.txt","Subject: GOVERNMENT ADVISORS & MINISTERS (%); US PRESIDENTS (%); WRITERS (%); DEATH &",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"28","text_extracted_4.txt","DYING (%); COLLEGE & UNIVERSITY PROFESSORS (%); CABINET OFFICES (%); ELECTIONS &",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"29","text_extracted_4.txt","POLITICS (%); POLITICAL PARTIES (%); POLITICS (%); RESIGNATIONS (%); BIOGRAPHICAL",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"30","text_extracted_4.txt","LITERATURE (%)",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"31","text_extracted_4.txt","Company: ROOSEVELT ADMINISTRATION (%); WHITE HOUSE INC (%); COLUMBIA UNIVERSITY",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"32","text_extracted_4.txt","PRESS (%); ROOSEVELT ADMINISTRATION (%); WHITE HOUSE INC (%); COLUMBIA UNIVERSITY",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"33","text_extracted_4.txt","PRESS (%)",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"34","text_extracted_4.txt","Industry: WRITERS (%); COLLEGE & UNIVERSITY PROFESSORS (%)",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"35","text_extracted_4.txt","Geographic: PHOENIX, AZ, USA (%); ARIZONA, USA (%); NEW YORK, USA (%); UNITED STATES",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"36","text_extracted_4.txt","(%)",4,1975-03-03,"DIED","     Newsweek         TRANSITION; Pg. 45","./extracted_text/text_extracted_4.txt"
"37","text_extracted_5.txt","                                                                                                    Page  of ",5,2017-10-19,"Moley, Dr. Jeffrey Fletcher 64","     St. Louis Post-Dispatch (Missouri)     CLASSIFIED ADVERTISING","./extracted_text/text_extracted_5.txt"
"38","text_extracted_5.txt","                                                     Moley, Dr. Jeffrey Fletcher ",5,2017-10-19,"Moley, Dr. Jeffrey Fletcher 64","     St. Louis Post-Dispatch (Missouri)     CLASSIFIED ADVERTISING","./extracted_text/text_extracted_5.txt"
"39","text_extracted_5.txt","                                            Moley, Dr. Jeffrey Fletcher ",5,2017-10-19,"Moley, Dr. Jeffrey Fletcher 64","     St. Louis Post-Dispatch (Missouri)     CLASSIFIED ADVERTISING","./extracted_text/text_extracted_5.txt"
"40","text_extracted_5.txt","                                                  St. Louis Post-Dispatch (Missouri)",5,2017-10-19,"Moley, Dr. Jeffrey Fletcher 64","     St. Louis Post-Dispatch (Missouri)     CLASSIFIED ADVERTISING","./extracted_text/text_extracted_5.txt"
"41","text_extracted_5.txt","                                                      October ,  Thursday",5,2017-10-19,"Moley, Dr. Jeffrey Fletcher 64","     St. Louis Post-Dispatch (Missouri)     CLASSIFIED ADVERTISING","./extracted_text/text_extracted_5.txt"
"42","text_extracted_5.txt","                                                             THIRD EDITION",5,2017-10-19,"Moley, Dr. Jeffrey Fletcher 64","     St. Louis Post-Dispatch (Missouri)     CLASSIFIED ADVERTISING","./extracted_text/text_extracted_5.txt"
"43","text_extracted_5.txt","Copyright  St. Louis Post-Dispatch, Inc. All Rights Reserved",5,2017-10-19,"Moley, Dr. Jeffrey Fletcher 64","     St. Louis Post-Dispatch (Missouri)     CLASSIFIED ADVERTISING","./extracted_text/text_extracted_5.txt"
"44","text_extracted_5.txt","Section: CLASSIFIED ADVERTISING",5,2017-10-19,"Moley, Dr. Jeffrey Fletcher 64","     St. Louis Post-Dispatch (Missouri)     CLASSIFIED ADVERTISING","./extracted_text/text_extracted_5.txt"
"45","text_extracted_5.txt","Length:  words",5,2017-10-19,"Moley, Dr. Jeffrey Fletcher 64","     St. Louis Post-Dispatch (Missouri)     CLASSIFIED ADVERTISING","./extracted_text/text_extracted_5.txt"
"46","text_extracted_5.txt","Body",5,2017-10-19,"Moley, Dr. Jeffrey Fletcher 64","     St. Louis Post-Dispatch (Missouri)     CLASSIFIED ADVERTISING","./extracted_text/text_extracted_5.txt"
